game_pk,temperature,Park
717325.0,74.0,Wrigley Field
717317.0,80.0,Comerica Park
717313.0,79.0,American Family Field
717318.0,84.0,Yankee Stadium
717310.0,71.0,Oakland Coliseum
717315.0,75.0,Progressive Field
717320.0,72.0,Tropicana Field
717316.0,74.0,Globe Life Field
717321.0,82.0,Great American Ball Park
717312.0,79.0,Angel Stadium
717311.0,79.0,T-Mobile Park
717319.0,72.0,loanDepot park
717324.0,75.0,Fenway Park
717302.0,78.0,Progressive Field
717308.0,82.0,Wrigley Field
717297.0,79.0,Angel Stadium
717295.0,75.0,Oakland Coliseum
717304.0,79.0,Yankee Stadium
717293.0,77.0,Target Field
717309.0,74.0,Fenway Park
717301.0,74.0,T-Mobile Park
717306.0,72.0,loanDepot park
717300.0,72.0,Tropicana Field
717303.0,83.0,Great American Ball Park
717296.0,78.0,American Family Field
717307.0,84.0,Nationals Park
717305.0,72.0,Globe Life Field
717299.0,80.0,Comerica Park
717292.0,72.0,loanDepot park
717286.0,78.0,Wrigley Field
717287.0,80.0,American Family Field
717278.0,81.0,Angel Stadium
717285.0,82.0,Target Field
717294.0,84.0,Yankee Stadium
717284.0,74.0,Globe Life Field
717279.0,72.0,Oakland Coliseum
717288.0,80.0,Comerica Park
717281.0,77.0,T-Mobile Park
717290.0,87.0,Nationals Park
717291.0,72.0,Tropicana Field
717283.0,82.0,Progressive Field
717289.0,83.0,Great American Ball Park
717298.0,75.0,Fenway Park
717273.0,78.0,American Family Field
717275.0,83.0,Target Field
717274.0,73.0,Minute Maid Park
717277.0,79.0,Progressive Field
717280.0,85.0,Citizens Bank Park
717271.0,78.0,Dodger Stadium
717282.0,85.0,Nationals Park
717276.0,72.0,Petco Park
717268.0,78.0,Chase Field
718558.0,81.0,Comerica Park
717262.0,85.0,American Family Field
717256.0,83.0,Dodger Stadium
717267.0,72.0,Citizens Bank Park
717263.0,86.0,Guaranteed Rate Field
717258.0,75.0,Petco Park
717266.0,70.0,Yankee Stadium
717270.0,72.0,Tropicana Field
717272.0,67.0,Oracle Park
717264.0,90.0,Target Field
717259.0,78.0,Chase Field
717265.0,85.0,Comerica Park
717260.0,80.0,Progressive Field
717269.0,82.0,Nationals Park
717255.0,73.0,Minute Maid Park
717261.0,69.0,Fenway Park
717253.0,92.0,Dodger Stadium
717257.0,86.0,Nationals Park
717244.0,78.0,Chase Field
717240.0,88.0,Guaranteed Rate Field
717252.0,72.0,Tropicana Field
